SalesOrderID,SalesOrderLineNumber,OrderDate,CustomerKey,ProductKey,OrderQuantity,UnitPrice,ExtendedAmount,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmt,Freight
90001,1,2015-01-05,10001,1001,1,850,850,0,500,500,850,85,20
90002,1,2015-01-08,10002,1003,1,1200,1200,50,700,700,1150,115,25
90003,1,2015-01-12,10003,1006,2,85,170,0,40,80,170,17,10
90004,1,2015-01-15,10004,1012,1,60,60,0,25,25,60,6,5
90005,1,2015-01-20,10005,1009,3,55,165,10,20,60,155,15.5,8
90006,1,2015-01-24,10006,1002,1,1050,1050,100,650,650,950,95,30
90007,1,2015-02-02,10007,1014,2,30,60,0,12,24,60,6,5
90008,1,2015-02-10,10008,1007,4,18,72,0,8,32,72,7.2,6
90009,1,2015-02-18,10009,1010,2,25,50,0,10,20,50,5,4
90010,1,2015-02-25,10010,1013,1,10,10,0,3,3,10,1,2
90011,1,2015-03-05,10011,1004,1,1450,1450,100,850,850,1350,135,35
90012,1,2015-03-12,10012,1005,1,950,950,50,600,600,900,90,28
90013,1,2015-03-20,10013,1008,2,120,240,20,55,110,220,22,10
90014,1,2015-03-25,10014,1011,3,45,135,0,18,54,135,13.5,8
90015,1,2015-03-30,10015,1001,1,850,850,0,500,500,850,85,20
